Capgemini HMS Backend – Complete API Reference (Static Analysis),,,,,,,,,,,,,,,,,,,,,,,,
Controller,Method,Endpoint,Description,Access,Expected JSON Response,Status Code,Module / Service Name,Full URL,Path Variables,Query Params,Request Headers,Request Body (DTO),Request DTO Structure,Response DTO Structure,Business Logic Flow,Database Impact,Relationships Used,Security Details,Validation Rules,Error Scenarios,Side Effects,Idempotency,Transactional Behavior,External Calls,Audit / Logging,Performance Considerations
Patient,DELETE,/api/v1/patients/{ssn},Soft-delete a patient record,ADMIN only,"{""success"":true,""message"":""Patient record deleted successfully""}",200 OK,Patient / PatientService + PatientRepository,/api/v1/patients/{ssn},ssn: Integer,None,"Cookie: JSESSIONID; X-XSRF-TOKEN","None","None","ApiResponse<String>","1. @PreAuthorize ADMIN. 2. patientService.deletePatient(ssn). 3. findById — throw if not found. 4. patient.setIsDeleted(true). 5. Save.","Table: patient (UPDATE is_deleted=true) | Operation: UPDATE (soft delete)","None","@PreAuthorize hasRole('ADMIN')","None","403: Role; 404: Patient not found","Does NOT hard-delete; patient record remains in DB with is_deleted=true","No — calling twice has no additional effect after first call","@Transactional on deletePatient","None","None","Single row update"
Physician,GET,/api/v1/physicians,Get paginated list of all active physicians,All authenticated roles,"{""success"":true,""data"":{""content"":[...]}}",200 OK,Physician / StaffService + PhysicianRepository,/api/v1/physicians,None,"page; size; sort","Cookie: JSESSIONID","None","None","PagedResponse<PhysicianDTO>: {employeeId; name; position; ssn}","1. No @PreAuthorize — falls to anyRequest().authenticated(). 2. staffService.getAllPhysicians(pageable). 3. Query: findAllActive(pageable). 4. Map to PhysicianDTO.","Table: physician (SELECT with pagination) | Operation: SELECT","None","Requires authenticated session only","None","401: No session","None","Yes","No","None","None","Paginated; safe"
Physician,GET,/api/v1/physicians/{id},Get physician by ID,All authenticated roles,"{""success"":true,""data"":{""employeeId"":1,...}}",200 OK,Physician / StaffService + PhysicianRepository,/api/v1/physicians/{id},id: Integer (employeeId),None,"Cookie: JSESSIONID","None","None","PhysicianDTO: {employeeId; name; position; ssn}","1. staffService.getPhysicianById(id). 2. Filter isDeleted=false. 3. Return DTO, or throw if not found.","Table: physician (SELECT by PK) | Operation: SELECT","None","Authenticated session","None","404: Physician not found or deleted; 401: No session","None","Yes","No","None","None","PK lookup; fast"
Physician,POST,/api/v1/physicians,Create a new physician profile,ADMIN only,"{""success"":true,""message"":""Physician created successfully""}",200 OK,Physician / StaffService + PhysicianRepository,/api/v1/physicians,None,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","PhysicianDTO: {employeeId, name, position, ssn}","employeeId: Integer | @NotNull; name: String | @NotBlank; position: String | @NotBlank; ssn: Integer | @NotNull","PhysicianDTO (created)","1. @PreAuthorize ADMIN. 2. Build Physician entity. 3. staffService.savePhysician(physician). 4. Save and return DTO.","Table: physician (INSERT) | Operation: INSERT","None","@PreAuthorize hasRole('ADMIN'); global rule (POST /api/v1/physicians/**) hasRole(ADMIN)","@NotNull fields via @Valid; @NotBlank name and position","400: Validation; 403: Role; 409: EmployeeId already exists","None","No","No","None","None","Low volume"
Physician,PUT,/api/v1/physicians/{id},Update physician profile,ADMIN only,"{""success"":true,""message"":""Physician updated successfully""}",200 OK,Physician / StaffService + PhysicianRepository,/api/v1/physicians/{id},id: Integer,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","PhysicianDTO: {name, position, ssn}","name: String | @NotBlank; position: String | @NotBlank; ssn: Integer | @NotNull","PhysicianDTO (updated)","1. @PreAuthorize ADMIN. 2. physicianDTO.setEmployeeId(id). 3. Build entity. 4. staffService.updatePhysician — findById + update. 5. Save.","Table: physician (SELECT + UPDATE) | Operation: UPDATE","None","@PreAuthorize hasRole('ADMIN')","@NotBlank @NotNull fields","400; 403; 404: Physician not found","None","Yes","@Transactional (inferred via save)","None","None","Single row update"
Physician,GET,/api/v1/physicians/search,Search physicians by name or position,ADMIN / DOCTOR / NURSE,"{""success"":true,""data"":{""content"":[...]}}",200 OK,Physician / StaffService + PhysicianRepository,/api/v1/physicians/search,None,"query: String; page; size","Cookie: JSESSIONID","None","None","PagedResponse<PhysicianDTO>","1. @PreAuthorize. 2. staffService.searchPhysicians. 3. LIKE query on name/position WHERE is_deleted=false.","Table: physician (SELECT LIKE) | Operation: SELECT","None","@PreAuthorize hasAnyRole('ADMIN','DOCTOR','NURSE')","query required","400: Missing query; 403","None","Yes","No","None","None","LIKE query; same index concern as patient search"
Physician,DELETE,/api/v1/physicians/{id},Soft-delete a physician record,ADMIN only,"{""success"":true,""message"":""Physician record deleted successfully""}",200 OK,Physician / StaffService + PhysicianRepository,/api/v1/physicians/{id},id: Integer,None,"Cookie: JSESSIONID; X-XSRF-TOKEN","None","None","ApiResponse<String>","1. @PreAuthorize ADMIN. 2. staffService.deletePhysician(id). 3. Set isDeleted=true. 4. Save.","Table: physician (UPDATE is_deleted=true) | Operation: UPDATE","None","@PreAuthorize hasRole('ADMIN'); global DELETE rule","None","403; 404","None","No — idempotent after first call","@Transactional","None","None","Single row update"
Department,GET,/api/v1/departments,Get paginated list of departments,Public / no role specified,"{""success"":true,""data"":{""content"":[...]}}",200 OK,Department / DepartmentService,/api/v1/departments,None,"page; size; sort","Cookie: JSESSIONID (session optional if public path)","None","None","PagedResponse<DepartmentDTO>: {departmentId; name; headId}","1. Falls to anyRequest().authenticated() — requires session. 2. departmentService.getAllDepartments(pageable). 3. findAllActive WHERE is_deleted=false. 4. Map to DTO.","Table: department (SELECT) | Operation: SELECT","Department → ManyToOne → Physician (head)","Authenticated session required","None","401: No session","None","Yes","No","None","None","Paginated; safe"
Department,GET,/api/v1/departments/{id},Get department by ID,Authenticated,"{""success"":true,""data"":{""departmentId"":1,...}}",200 OK,Department / DepartmentService,/api/v1/departments/{id},id: Integer,None,"Cookie: JSESSIONID","None","None","DepartmentDTO: {departmentId; name; headId}","1. departmentService.getDepartmentById(id). 2. Filter isDeleted=false. 3. Return DTO or throw.","Table: department (SELECT by PK) | Operation: SELECT","Department → ManyToOne → Physician","Authenticated","None","404: Not found; 401","None","Yes","No","None","None","PK lookup"
Department,POST,/api/v1/departments,Create a new department,ADMIN only,"{""success"":true,""message"":""Department created successfully""}",200 OK,Department / DepartmentService,/api/v1/departments,None,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","DepartmentDTO: {departmentId?, name, headId?}","name: String | @NotBlank; headId: Integer | Optional","DepartmentDTO (created)","1. @PreAuthorize ADMIN. 2. convertToEntity — lookup physician if headId set. 3. departmentService.saveDepartment(). 4. Save and return.","Table: department (INSERT) | Operation: INSERT","Department → ManyToOne → Physician","@PreAuthorize hasRole('ADMIN')","@NotBlank name","400; 403; 500: Physician head not found","None","No","No","None","None","Low volume"
Department,PUT,/api/v1/departments/{id},Update department details,ADMIN only,"{""success"":true,""message"":""Department updated successfully""}",200 OK,Department / DepartmentService,/api/v1/departments/{id},id: Integer,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","DepartmentDTO: {name, headId?}","name: String | @NotBlank; headId: Integer | Optional","DepartmentDTO (updated)","1. ADMIN check. 2. Set id from path. 3. convertToEntity. 4. departmentService.updateDepartment. 5. Save.","Table: department (SELECT + UPDATE) | Operation: UPDATE","Department → ManyToOne → Physician","ADMIN","@NotBlank name","400; 403; 404","None","Yes","No","None","None","Single row"
Department,DELETE,/api/v1/departments/{id},Soft-delete a department,ADMIN only,"{""success"":true,""message"":""Department record deleted successfully""}",200 OK,Department / DepartmentService,/api/v1/departments/{id},id: Integer,None,"Cookie: JSESSIONID; X-XSRF-TOKEN","None","None","ApiResponse<String>","1. ADMIN check. 2. departmentService.deleteDepartment(id). 3. isDeleted=true. 4. Save.","Table: department (UPDATE) | Operation: UPDATE","None","ADMIN","None","403; 404","None","No","@Transactional","None","None","Single row"
Department,PUT,/api/v1/departments/{id}/head,Assign physician as department head,ADMIN only,"{""success"":true,""message"":""Department head updated successfully""}",200 OK,Department / DepartmentService,/api/v1/departments/{id}/head,id: Integer,"physicianId: Integer (required query param)","Cookie: JSESSIONID; X-XSRF-TOKEN","None","None","DepartmentDTO (updated with new headId)","1. ADMIN check. 2. departmentService.setDepartmentHead(id, physicianId). 3. Lookup department + physician. 4. dept.setHead(physician). 5. Save.","Table: department (UPDATE head column); physician (SELECT) | Operation: UPDATE + SELECT","Department → ManyToOne → Physician","ADMIN","physicianId required query param","403; 404 dept; 404 physician","None","Yes — same call = same result","@Transactional","None","None","Two reads + one write"
Department,POST,/api/v1/departments/affiliate,Map a physician to a department,ADMIN only,"{""success"":true,""message"":""Physician affiliated successfully""}",200 OK,Department / DepartmentService + AffiliatedWithRepository,/api/v1/departments/affiliate,None,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","AffiliationRequest: {physicianId, departmentId, primary?}","physicianId: Integer | @NotNull; departmentId: Integer | @NotNull; primary: Boolean | Optional","ApiResponse<String>","1. ADMIN check. 2. departmentService.affiliatePhysician(physicianId, departmentId, primary). 3. Build AffiliatedWith join entity. 4. Save.","Table: affiliated_with (INSERT); physician (SELECT); department (SELECT) | Operation: INSERT","AffiliatedWith → ManyToOne → Physician + Department (composite key)","ADMIN","@NotNull physicianId and departmentId","403; 500: physician or dept not found; 409: already affiliated","None","No","No","None","None","Low volume"
Department,GET,/api/v1/departments/{id}/physicians,List physician IDs affiliated with a department,Authenticated,"{""success"":true,""data"":[3,6,7]}",200 OK,Department / DepartmentService + AffiliatedWithRepository,/api/v1/departments/{id}/physicians,id: Integer (departmentId),None,"Cookie: JSESSIONID","None","None","List<Integer> (employeeIds)","1. departmentService.getDepartmentPhysicians(id). 2. AffiliatedWithRepository query by departmentId. 3. Extract physicianId list. 4. Return.","Table: affiliated_with (SELECT by dept); physician (JOIN) | Operation: SELECT","AffiliatedWith → ManyToOne → Physician/Department","Authenticated","None","404: Department not found; 401","None","Yes","No","None","None","Returns list; could grow large in big departments"
Appointment,GET,/api/v1/appointments/my,Get appointments for logged-in patient,PATIENT only,"{""success"":true,""data"":[{...}]}",200 OK,Appointment / AppointmentService + AppointmentRepository,/api/v1/appointments/my,None,None,"Cookie: JSESSIONID","None","None","List<AppointmentDTO>: {appointmentId; patientSsn; patientName; prepNurseId; physicianId; physicianName; start; end; examinationRoom}","1. PATIENT role enforced by security config. 2. Extract patientSsn from SecurityContext. 3. appointmentService.getPatientAppointments(ssn). 4. Filter isDeleted=false. 5. Map to DTO.","Table: appointment (SELECT by patient SSN) | Operation: SELECT","Appointment → ManyToOne → Patient; Physician; Nurse","hasRole('PATIENT') enforced in WebSecurityConfig requestMatchers","None","401: No session; 500: Account not linked to patient SSN","None","Yes","No","None","None","Returns all appointments; no pagination — potential performance issue"
Appointment,GET,/api/v1/appointments,Get paginated list of all appointments,ADMIN / DOCTOR / NURSE,"{""success"":true,""data"":{""content"":[...]}}",200 OK,Appointment / AppointmentService,/api/v1/appointments,None,"page; size; sort","Cookie: JSESSIONID","None","None","PagedResponse<AppointmentDTO>","1. GET rule: hasAnyRole(ADMIN,DOCTOR,NURSE). 2. appointmentService.getAllAppointments(pageable). 3. findAllActive() WHERE is_deleted=false. 4. Map to DTO.","Table: appointment (SELECT) | Operation: SELECT","Appointment → ManyToOne → Patient; Physician; Nurse","hasAnyRole('ADMIN','DOCTOR','NURSE')","None","403; 401","None","Yes","No","None","None","Paginated; JOIN to 3 tables — potential N+1 without fetch join"
Appointment,GET,/api/v1/appointments/{id},Get appointment by ID,ADMIN / DOCTOR / NURSE,"{""success"":true,""data"":{...}}",200 OK,Appointment / AppointmentService,/api/v1/appointments/{id},id: Integer,None,"Cookie: JSESSIONID","None","None","AppointmentDTO","1. appointmentService.getAppointmentById(id). 2. Filter isDeleted=false. 3. Map to DTO.","Table: appointment (SELECT by PK) | Operation: SELECT","Appointment → ManyToOne → Patient; Physician; Nurse","hasAnyRole('ADMIN','DOCTOR','NURSE')","None","403; 404; 401","None","Yes","No","None","None","PK lookup; 3-table JOIN"
Appointment,POST,/api/v1/appointments,Book a new appointment,ADMIN / NURSE / PATIENT,"{""success"":true,""message"":""Appointment booked successfully""}",200 OK,Appointment / AppointmentService,/api/v1/appointments,None,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","AppointmentDTO: {patientSsn?, physicianId, prepNurseId?, start, end, examinationRoom}","patientSsn: Integer | @NotNull (auto-set for PATIENT role); physicianId: Integer | @NotNull; prepNurseId: Integer | Optional; start: LocalDateTime | @NotNull; end: LocalDateTime | @NotNull; examinationRoom: String | @NotBlank","AppointmentDTO (created with appointmentId)","1. POST rule: hasAnyRole(ADMIN,NURSE,PATIENT). 2. If PATIENT role: patientSsn auto-set from SecurityContext (prevents spoofing). 3. convertToEntity — lookup Patient, Physician, Nurse from DB. 4. appointmentService.bookAppointment(). 5. Save.","Table: appointment (INSERT); patient; physician; nurse (all SELECT) | Operation: INSERT","Appointment → ManyToOne → Patient; Physician; Nurse","Security config POST rule; PATIENT cannot book for another patient","@NotNull patientSsn; @NotNull physicianId; @NotNull start/end; @NotBlank examinationRoom","400: Validation; 403: Role; 500: Patient/Physician/Nurse not found","None","No — new appointment each time","No @Transactional on bookAppointment","None","None","3 FK lookups + 1 insert"
Appointment,PUT,/api/v1/appointments/{id},Update an existing appointment,ADMIN / NURSE / DOCTOR,"{""success"":true,""message"":""Appointment updated successfully""}",200 OK,Appointment / AppointmentService,/api/v1/appointments/{id},id: Integer,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","AppointmentDTO: partial — any updatable fields","All AppointmentDTO fields optional for partial update","AppointmentDTO (updated)","1. dto.setAppointmentId(id). 2. convertToEntity — only fetches FKs if provided (partial update support). 3. appointmentService.updateAppointment. 4. Save.","Table: appointment (SELECT + UPDATE) | Operation: UPDATE","Appointment → ManyToOne → Patient; Physician; Nurse","anyRequest().authenticated() (no specific PreAuthorize on PUT)","None","400; 403; 404","None","Yes","@Transactional","None","None","Partial update pattern — no @Valid enforced on PUT"
Appointment,GET,/api/v1/appointments/physician/{id},Get all appointments for a specific physician,ADMIN / DOCTOR,"{""success"":true,""data"":[{...}]}",200 OK,Appointment / AppointmentService,/api/v1/appointments/physician/{id},id: Integer (physicianId),None,"Cookie: JSESSIONID","None","None","List<AppointmentDTO>","1. appointmentService.getPhysicianSchedule(id). 2. Repository: findByPhysicianId WHERE is_deleted=false. 3. Map to DTO list.","Table: appointment (SELECT by physician FK) | Operation: SELECT","Appointment → ManyToOne → Physician","anyRequest().authenticated()","None","401; 404 if physician has no appointments (returns empty list)","None","Yes","No","None","None","Returns full list without pagination — scalability concern"
Appointment,DELETE,/api/v1/appointments/{id},Cancel (soft-delete) an appointment,ADMIN / NURSE,"{""success"":true,""message"":""Appointment cancelled successfully""}",200 OK,Appointment / AppointmentService,/api/v1/appointments/{id},id: Integer,None,"Cookie: JSESSIONID; X-XSRF-TOKEN","None","None","ApiResponse<String>","1. appointmentService.deleteAppointment(id). 2. Set isDeleted=true. 3. Save.","Table: appointment (UPDATE is_deleted=true) | Operation: UPDATE","None","anyRequest().authenticated()","None","401; 404","None","No","@Transactional","None","None","Single row update"
Medication,GET,/api/v1/medications,Get paginated list of medications,ADMIN / DOCTOR / NURSE,"{""success"":true,""data"":{""content"":[...]}}",200 OK,Medication / MedicationService + MedicationRepository,/api/v1/medications,None,"page; size; sort","Cookie: JSESSIONID","None","None","PagedResponse<MedicationDTO>: {code; name; brand; description}","1. @PreAuthorize ADMIN/DOCTOR/NURSE. 2. medicationService.getAllMedications(pageable). 3. findAllActive() WHERE is_deleted=false. 4. Map to DTO.","Table: medication (SELECT) | Operation: SELECT","None","@PreAuthorize hasAnyRole('ADMIN','DOCTOR','NURSE'); global GET rule","None","403; 401","None","Yes","No","None","None","Paginated; safe"
Medication,GET,/api/v1/medications/{code},Get medication by code,ADMIN / DOCTOR / NURSE,"{""success"":true,""data"":{""code"":1,...}}",200 OK,Medication / MedicationService,/api/v1/medications/{code},code: Integer,None,"Cookie: JSESSIONID","None","None","MedicationDTO: {code; name; brand; description}","1. medicationService.getMedicationByCode(code). 2. Filter isDeleted=false. 3. Return DTO.","Table: medication (SELECT by PK) | Operation: SELECT","None","@PreAuthorize hasAnyRole('ADMIN','DOCTOR','NURSE')","None","403; 404","None","Yes","No","None","None","PK lookup"
Medication,POST,/api/v1/medications,Add a new medication to catalog,ADMIN only,"{""success"":true,""message"":""Medication added to catalog successfully""}",200 OK,Medication / MedicationService,/api/v1/medications,None,None,"Cookie: JSESSIONID; X-XSRF-TOKEN; Content-Type: application/json","MedicationDTO: {code, name, brand, description}","code: Integer | @NotNull; name: String | @NotBlank; brand: String | @NotBlank; description: String | Optional","MedicationDTO (created)","1. @PreAuthorize ADMIN. 2. convertToEntity. 3. medicationService.saveMedication(). 4. Return.","Table: medication (INSERT) | Operation: INSERT","None","@PreAuthorize hasRole('ADMIN')","@NotNull code; @NotBlank name/brand","400; 403; 409: Duplicate code","None","No","No","None","None","Low volume"
